Song Title,Streams,Highest Charting Position,Number of Times Charted,Artist,Artist Followers,Genre,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Valence
From Florida With Love,"7,216,610",84,1,Drake,56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",01-05-2020,64,0.787,0.477,-7.837,0.199,0.768,0.104,80.506,0.476
Film out,"7,198,095",25,5,BTS,37106176,"['k-pop', 'k-pop boy group']",01-04-2021,81,0.499,0.709,-6.404,0.134,0.296,0.331,164.032,0.314
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),"7,170,169",160,1,Mariah Carey,6931357,"['dance pop', 'pop', 'r&b', 'urban contemporary']",04-12-2020,47,0.648,0.938,-3.298,0.115,0.034,0.056,78.496,0.849
Dis-ease,"7,165,808",26,2,BTS,37151476,"['k-pop', 'k-pop boy group']",20-11-2020,75,0.731,0.845,-5.352,0.132,0.013,0.078,101.085,0.484
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)","7,157,402",30,2,Eminem,46814751,"['detroit hip hop', 'hip hop', 'rap']",17-01-2020,66,0.680,0.820,-4.197,0.151,0.061,0.597,140.033,0.243
Circles,"7,156,162",6,84,Post Malone,33651775,"['dfw rap', 'melodic rap', 'rap']",06-09-2019,87,0.695,0.762,-3.497,0.040,0.192,0.086,120.042,0.553
Do You Hear What I Hear? - Remastered 2006,"7,149,158",161,1,Bing Crosby,359973,"['adult standards', 'easy listening', 'lounge', 'swing', 'vocal jazz']",01-01-2006,44,0.566,0.246,-15.499,0.028,0.813,0.195,101.529,0.412
Breathe Deeper,"7,142,364",96,1,Tame Impala,5064200,"['australian psych', 'neo-psychedelic']",14-02-2020,66,0.664,0.848,-4.510,0.032,0.025,0.172,104.998,0.502
Chromatica II,"7,136,521",87,1,Lady Gaga,18585963,"['dance pop', 'pop', 'post-teen pop']",29-05-2020,58,0.184,0.297,-14.534,0.036,0.473,0.527,75.824,0.113
Heaven On Earth,"7,117,347",139,1,Kid Cudi,5002317,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,59,0.786,0.610,-6.736,0.056,0.379,0.077,130.036,0.228
"I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)","7,115,414",113,1,Eminem,46814751,"['detroit hip hop', 'hip hop', 'rap']",17-01-2020,60,0.635,0.543,-5.941,0.067,0.045,0.272,98.743,0.036
Yea Yea,"7,112,419",95,1,Pop Smoke,6852509,['brooklyn drill'],03-07-2020,63,0.717,0.474,-8.383,0.403,0.051,0.139,123.906,0.448
Blaues Licht,"7,084,292",94,1,"RAF Camora, Bonez MC",1329531,['german hip hop'],16-07-2021,78,0.819,0.835,-4.899,0.102,0.398,0.252,144.955,0.703
PICK UP (feat. Quavo),"7,065,060",78,1,DaBaby,7601122,"['north carolina hip hop', 'rap']",17-04-2020,65,0.915,0.612,-4.535,0.407,0.094,0.115,129.930,0.758
Ram Pam Pam,"7,064,003",75,10,"Natti Natasha, Becky G",6341942,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",20-04-2021,86,0.908,0.813,-2.749,0.078,0.305,0.278,97.018,0.924
Blue World,"7,060,589",38,2,Mac Miller,6189454,"['hip hop', 'pittsburgh rap', 'rap']",17-01-2020,75,0.742,0.553,-8.980,0.419,0.389,0.069,84.931,0.508
SI ELLA SALE,"7,055,918",83,1,Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",10-05-2020,63,0.869,0.727,-7.397,0.123,0.059,0.107,147.967,0.920
Secure The Bag,"7,053,947",122,1,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",06-03-2020,57,0.803,0.719,-4.485,0.392,0.344,0.425,129.945,0.549
Still Learning,"7,050,815",115,1,Halsey,15663384,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",17-01-2020,59,0.708,0.661,-6.543,0.055,0.040,0.113,102.046,0.317
White Horse (Taylor’s Version),"7,039,222",102,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",09-04-2021,65,0.423,0.517,-7.377,0.049,0.369,0.177,185.262,0.366
Stay,"7,010,227",27,2,BTS,37151476,"['k-pop', 'k-pop boy group']",20-11-2020,76,0.582,0.693,-5.048,0.047,0.114,0.130,125.904,0.341
Babylon,"6,996,402",91,1,Lady Gaga,18585963,"['dance pop', 'pop', 'post-teen pop']",29-05-2020,61,0.698,0.799,-4.372,0.034,0.013,0.215,115.957,0.351
Black Hearted,"6,989,528",106,1,Polo G,4840346,['chicago rap'],11-06-2021,75,0.506,0.563,-7.664,0.411,0.033,0.086,168.146,0.153
MANIFESTO (feat. Domo Genesis),"6,988,886",108,1,"Tyler, The Creator",6777818,"['hip hop', 'rap']",25-06-2021,73,0.454,0.866,-5.348,0.391,0.121,0.167,92.463,0.518
Hallelujah,"6,985,392",167,1,Pentatonix,3083825,['a cappella'],06-12-2017,60,0.364,0.378,-7.381,0.033,0.470,0.339,89.918,0.366
In Da Getto,"6,984,262",96,4,"J Balvin, Skrillex",1250353,['reggaeton'],12-08-2021,2,0.915,0.720,-3.126,0.046,0.025,0.094,126.986,0.631
Surf,"6,960,699",118,1,Mac Miller,6189454,"['hip hop', 'pittsburgh rap', 'rap']",17-01-2020,67,0.828,0.182,-13.066,0.166,0.754,0.150,147.279,0.231
Ew,"6,936,305",97,1,Joji,4759367,"['alternative r&b', 'viral pop']",25-09-2020,67,0.480,0.373,-9.297,0.028,0.804,0.120,114.078,0.038
Voilà,"6,935,400",106,1,Barbara Pravi,75496,"['eurovision', 'nouvelle chanson francaise']",06-11-2020,72,0.447,0.337,-8.665,0.063,0.773,0.298,135.379,0.603
Slay3r,"6,912,271",114,1,Playboi Carti,4958353,"['atl hip hop', 'plugg', 'rap', 'trap']",25-12-2020,63,0.885,0.661,-5.062,0.141,0.165,0.334,140.028,0.436
Losses,"6,894,756",89,1,Drake,56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",01-05-2020,57,0.551,0.570,-7.385,0.351,0.280,0.424,85.687,0.505
Poblado,"6,893,939",59,6,"Crissin, Totoy El Frio, Natan & Shander",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",18-06-2021,89,0.813,0.809,-5.382,0.085,0.102,0.377,93.005,0.646
VACATION,"6,883,487",83,1,Tyga,6298789,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",19-06-2020,51,0.821,0.610,-6.220,0.096,0.025,0.185,110.973,0.470
Sad People,"6,865,689",147,1,Kid Cudi,5002317,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,62,0.636,0.647,-6.971,0.038,0.247,0.113,158.073,0.416
Changes,"6,865,229",103,1,Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",14-02-2020,62,0.485,0.412,-7.766,0.042,0.738,0.120,64.062,0.612
Woman,"6,858,466",97,3,Doja Cat,8640063,"['dance pop', 'pop']",25-06-2021,86,0.824,0.764,-4.175,0.085,0.089,0.117,107.998,0.881
Outro : Ego,"6,857,808",104,1,BTS,37151476,"['k-pop', 'k-pop boy group']",21-02-2020,69,0.808,0.903,-3.106,0.096,0.012,0.099,116.988,0.473
t r a n s p a r e n t s o u l feat. Travis Barker,"6,853,994",60,8,WILLOW,1521837,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",27-04-2021,85,0.390,0.830,-5.201,0.056,0.002,0.156,90.021,0.191
Bet You Wanna (feat. Cardi B),"6,846,771",11,4,BLACKPINK,23848461,"['k-pop', 'k-pop girl group']",02-10-2020,67,0.653,0.662,-6.168,0.162,0.005,0.063,111.712,0.674
Clash (feat. Stormzy),"6,825,463",99,2,Dave,1427540,['uk hip hop'],08-07-2021,79,0.871,0.519,-6.549,0.258,0.313,0.087,140.013,0.532
Daylight,"6,819,838",99,2,"Joji, Diplo",4759367,"['alternative r&b', 'viral pop']",06-08-2020,72,0.528,0.749,-7.571,0.048,0.005,0.095,163.944,0.729
Before You Go,"6,813,800",22,83,Lewis Capaldi,8384096,"['pop', 'uk pop']",22-11-2019,83,0.459,0.575,-4.858,0.057,0.604,0.089,111.881,0.183
This Christmas,"6,809,438",175,1,Donny Hathaway,424935,"['chicago soul', 'classic soul', 'funk', 'motown', 'neo soul', 'quiet storm', 'soul', 'southern soul']",03-04-1990,42,0.634,0.645,-9.200,0.038,0.292,0.246,93.047,0.677
Good In Bed,"6,802,068",92,1,Dua Lipa,27167675,"['dance pop', 'pop', 'uk pop']",11-02-2021,64,0.680,0.701,-5.001,0.092,0.138,0.168,94.060,0.649
Levitating,"6,799,831",52,19,Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']",01-10-2020,89,0.702,0.825,-3.787,0.060,0.009,0.067,102.977,0.915
mad woman,"6,796,343",29,2,Taylor Swift,42227614,"['pop', 'post-teen pop']",24-07-2020,67,0.592,0.699,-8.995,0.047,0.655,0.114,141.916,0.506
Damaged,"6,763,705",152,1,Kid Cudi,5002317,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,57,0.625,0.581,-7.100,0.032,0.553,0.254,142.040,0.267
Wasting Time ( feat. Drake ),"6,731,106",101,1,Brent Faiyaz,1724414,"['dmv rap', 'pop', 'r&b', 'rap']",01-07-2021,78,0.652,0.717,-3.751,0.058,0.069,0.091,89.982,0.377
A Holly Jolly Christmas - Single Version,"6,716,353",42,5,Burl Ives,58479,"['adult standards', 'american folk revival']",01-01-1965,49,0.683,0.375,-13.056,0.030,0.579,0.076,140.467,0.888
Reckless,"6,711,375",85,5,Madison Beer,3363988,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",04-06-2021,86,0.386,0.426,-6.642,0.036,0.807,0.140,180.104,0.261
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","6,709,106",103,5,BANDIDO,16074,['latin urbano'],16-06-2021,85,0.769,0.812,-2.088,0.083,0.281,0.078,180.003,0.926
Big Body Benz,"6,707,101",86,1,Bonez MC,1683006,"['german hip hop', 'hamburg hip hop']",18-06-2020,61,0.884,0.451,-8.969,0.393,0.073,0.268,94.024,0.311
Believer,"6,699,895",88,83,Imagine Dragons,35285425,"['modern rock', 'pop', 'rock']",23-06-2017,86,0.776,0.780,-4.374,0.128,0.062,0.081,124.949,0.666
"Lemonade (feat. Gunna, Don Toliver & NAV)","6,697,067",2,48,Internet Money,411579,"['pop rap', 'rap', 'trap']",14-08-2020,82,0.799,0.660,-6.153,0.079,0.256,0.111,140.040,0.471
Ring,"6,693,229",107,1,Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",10-01-2020,55,0.873,0.510,-5.350,0.066,0.565,0.074,110.953,0.871
Juice WRLD Speaks From Heaven - Outro,"6,682,917",112,1,Juice WRLD,19102888,"['chicago rap', 'melodic rap']",10-07-2020,59,0.392,0.373,-14.097,0.097,0.991,0.545,121.678,0.519
Winter Wonderland,"6,680,928",180,1,Tony Bennett,659472,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",09-12-2014,29,0.604,0.497,-6.676,0.032,0.727,0.102,126.011,0.720
Talking to the Moon,"6,660,319",45,19,Bruno Mars,32574754,"['dance pop', 'pop', 'post-teen pop']",05-10-2010,83,0.523,0.606,-4.754,0.030,0.512,0.106,145.837,0.065
Christmas Tree Farm,"6,657,404",181,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",06-12-2019,52,0.598,0.680,-4.505,0.033,0.060,0.324,134.002,0.437
Interlude : Shadow,"6,655,856",109,1,BTS,37151476,"['k-pop', 'k-pop boy group']",21-02-2020,68,0.385,0.798,-6.439,0.483,0.115,0.181,149.756,0.141
Blinding Lights (with ROSALÍA) - Remix,"6,653,913",138,1,The Weeknd,35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",04-12-2020,64,0.490,0.694,-5.793,0.062,0.013,0.095,170.903,0.249
Roses - Imanbek Remix,"6,653,690",3,83,SAINt JHN,742692,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",20-11-2020,72,0.769,0.719,-5.472,0.047,0.014,0.359,121.955,0.863
Cozy Little Christmas,"6,652,130",182,1,Katy Perry,18936929,"['dance pop', 'pop', 'post-teen pop']",15-11-2018,41,0.774,0.608,-6.264,0.128,0.128,0.090,137.494,0.560
Negro,"6,651,425",103,1,J Balvin,29067437,"['latin', 'reggaeton', 'reggaeton colombiano']",19-03-2020,67,0.795,0.911,-2.228,0.088,0.016,0.131,164.081,0.800
COOLER THAN A BITCH (feat. Roddy Ricch),"6,642,144",83,1,Gunna,3337982,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",22-05-2020,67,0.837,0.586,-8.521,0.081,0.281,0.134,117.066,0.618
"The Man, The Myth, The Legend - Interlude","6,640,728",113,1,Juice WRLD,19102888,"['chicago rap', 'melodic rap']",10-07-2020,58,0.667,0.447,-14.625,0.761,0.916,0.612,83.534,0.829
"Merry Christmas, Happy Holidays","6,635,128",184,1,*NSYNC,1564750,"['boy band', 'dance pop', 'pop', 'post-teen pop']",30-10-1998,41,0.643,0.939,-3.967,0.046,0.104,0.881,104.999,0.756
tolerate it,"6,635,109",24,2,Taylor Swift,42227614,"['pop', 'post-teen pop']",11-12-2020,67,0.316,0.361,-10.381,0.049,0.878,0.080,74.952,0.221
Sal y Perrea,"6,635,076",59,11,Sech,8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",15-04-2021,86,0.786,0.899,-0.515,0.127,0.192,0.299,90.025,0.813
Shy Away,"6,634,722",53,5,Twenty One Pilots,20823062,"['modern rock', 'rock']",21-05-2021,77,0.588,0.856,-5.242,0.032,0.001,0.238,96.966,0.635
Chromatica I,"6,630,385",93,1,Lady Gaga,18585963,"['dance pop', 'pop', 'post-teen pop']",29-05-2020,58,0.184,0.297,-14.534,0.036,0.473,0.527,75.824,0.113
Saturday,"6,628,638",118,1,Twenty One Pilots,20823062,"['modern rock', 'rock']",21-05-2021,75,0.687,0.890,-5.990,0.034,0.004,0.044,113.060,0.854
Enjoy Yourself (feat. Karol G),"6,620,040",100,1,Pop Smoke,6852509,['brooklyn drill'],03-07-2020,70,0.764,0.676,-6.761,0.093,0.389,0.215,97.020,0.461
Fulanito,"6,614,072",109,3,"Becky G, El Alfa",10356559,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",03-06-2021,86,0.930,0.837,-4.632,0.187,0.256,0.239,111.898,0.821
test drive,"6,591,829",38,2,Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",19-02-2021,71,0.698,0.708,-4.943,0.045,0.025,0.124,115.036,0.322
Cardigan,"6,586,204",104,1,Don Toliver,1606884,"['rap', 'trap']",13-03-2020,70,0.747,0.497,-6.542,0.040,0.248,0.138,142.046,0.066
París,"6,584,896",110,1,Ingratax,56699,['latin urbano'],09-07-2021,86,0.570,0.455,-5.748,0.100,0.441,0.065,167.933,0.399
lovely (with Khalid),"6,569,547",46,83,Billie Eilish,47014200,"['electropop', 'pop']",19-04-2018,86,0.351,0.296,-10.109,0.033,0.934,0.095,115.284,0.120
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","6,567,755",15,24,"Tory Lanez, Jack Harlow",3828418,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",24-06-2020,80,0.904,0.723,-5.224,0.260,0.063,0.185,145.013,0.835
Scared To Live,"6,566,099",27,2,The Weeknd,35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",20-03-2020,66,0.504,0.498,-8.240,0.050,0.131,0.093,87.221,0.196
Forever & Always (Taylor’s Version),"6,566,059",114,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",09-04-2021,66,0.598,0.821,-4.433,0.045,0.023,0.143,128.030,0.673
Yikes,"6,561,188",105,1,Nicki Minaj,22170982,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",07-02-2020,70,0.911,0.637,-8.381,0.447,0.041,0.238,149.996,0.660
Yellow Hearts,"6,554,824",66,7,Ant Saunders,82522,"['chill r&b', 'pop']",18-06-2019,70,0.866,0.438,-8.943,0.072,0.177,0.074,129.039,0.695
Sunflower - Spider-Man: Into the Spider-Verse,"6,546,948",24,83,"Post Malone, Swae Lee",1250353,['hip hop'],14-12-2018,82,0.760,0.479,-5.574,0.047,0.556,0.070,89.911,0.913
Commercial (feat. Lil Uzi Vert),"6,540,577",123,1,Lil Baby,7816213,"['atl hip hop', 'atl trap', 'rap', 'trap']",28-02-2020,67,0.892,0.486,-8.637,0.384,0.048,0.146,120.998,0.535
double take,"6,539,852",113,3,dhruv,73211,"['chill r&b', 'nyc pop']",24-05-2019,86,0.663,0.434,-11.177,0.065,0.828,0.249,109.075,0.225
Confirmation,"6,520,106",116,1,Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",14-02-2020,58,0.438,0.315,-8.186,0.038,0.608,0.151,190.064,0.449
Forever (feat. Post Malone & Clever),"6,517,807",15,8,Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",14-02-2020,68,0.825,0.483,-5.746,0.080,0.538,0.204,139.980,0.892
In Your Eyes (with Doja Cat) - Remix,"6,511,008",90,1,The Weeknd,35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",21-05-2020,67,0.679,0.731,-5.522,0.032,0.005,0.061,99.984,0.727
Breathe (feat. Colbie Caillat) (Taylor’s Version),"6,508,683",119,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",09-04-2021,64,0.506,0.626,-6.066,0.029,0.156,0.228,148.035,0.321
Get Into It (Yuh),"6,503,281",121,1,Doja Cat,8640063,"['dance pop', 'pop']",25-06-2021,80,0.912,0.655,-6.029,0.162,0.315,0.089,91.942,0.793
Streets,"6,502,302",9,29,Doja Cat,8640063,"['dance pop', 'pop']",07-11-2019,86,0.749,0.463,-8.433,0.084,0.210,0.338,90.035,0.189
Sum 2 Prove,"6,497,610",75,6,Lil Baby,7816213,"['atl hip hop', 'atl trap', 'rap', 'trap']",10-01-2020,71,0.823,0.552,-7.570,0.324,0.017,0.122,124.038,0.418
By Your Side (feat. Tom Grennan),"6,488,622",80,8,Calvin Harris,21942793,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",04-06-2021,85,0.733,0.960,-3.597,0.030,0.051,0.287,124.010,0.811
Crowded Room (feat. 6LACK),"6,483,001",111,1,Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",10-01-2020,55,0.724,0.415,-8.408,0.052,0.764,0.103,89.999,0.328
MORENA,"6,469,500",116,3,Luan Santana,5420471,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",17-06-2021,85,0.526,0.731,-4.662,0.089,0.180,0.089,86.959,0.476
Holy Smokes,"6,464,206",116,1,"Trippie Redd, Lil Uzi Vert",6430522,"['melodic rap', 'rap', 'trap']",16-07-2021,79,0.437,0.527,-6.967,0.465,0.185,0.153,187.815,0.701
That's On Me,"6,462,701",139,1,Mac Miller,6189454,"['hip hop', 'pittsburgh rap', 'rap']",17-01-2020,60,0.583,0.499,-10.086,0.026,0.591,0.330,155.199,0.342
Shape of You,"6,452,492",80,80,Ed Sheeran,83293380,"['pop', 'uk pop']",03-03-2017,85,0.825,0.652,-3.183,0.080,0.581,0.093,95.977,0.931
Liberdade Provisória,"6,442,626",99,5,Henrique & Juliano,13312073,"['sertanejo pop', 'sertanejo universitario']",06-12-2019,66,0.668,0.684,-5.937,0.053,0.627,0.923,108.138,0.700
Silly Watch,"6,442,451",36,2,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",06-03-2020,65,0.903,0.535,-6.238,0.286,0.030,0.085,130.117,0.157
Last Train Home,"6,439,718",117,1,John Mayer,5178156,"['neo mellow', 'pop rock', 'singer-songwriter']",16-07-2021,75,0.591,0.831,-6.612,0.036,0.235,0.057,93.007,0.678
Dámelo To’ (feat. Myke Towers),"6,426,522",109,1,Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",12-03-2021,64,0.787,0.641,-7.376,0.315,0.101,0.070,182.003,0.437
Lost,"6,410,263",124,1,Maroon 5,32262679,"['pop', 'pop rock']",11-06-2021,79,0.766,0.706,-6.553,0.160,0.223,0.064,142.989,0.766
Fairytale of New York (feat. Kirsty MacColl),"6,404,964",47,5,The Pogues,382997,"['celtic', 'celtic punk', 'celtic rock', 'folk punk', 'irish folk', 'punk']",05-09-1988,55,0.271,0.551,-7.480,0.046,0.582,0.256,78.111,0.428
YO VISTO ASÍ,"6,388,079",17,3,Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",27-11-2020,73,0.688,0.881,-4.889,0.047,0.095,0.080,123.013,0.677
WUNNA,"6,384,306",92,1,Gunna,3337982,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",22-05-2020,60,0.890,0.455,-9.000,0.255,0.022,0.110,148.009,0.313
Boot,"6,375,562",86,1,Apache 207,1674348,['german hip hop'],31-07-2020,54,0.534,0.565,-7.546,0.307,0.063,0.112,194.034,0.529
Unaccommodating (feat. Young M.A),"6,374,807",32,2,Eminem,46814751,"['detroit hip hop', 'hip hop', 'rap']",17-01-2020,65,0.852,0.752,-5.793,0.060,0.017,0.394,89.950,0.389
Respect,"6,373,954",120,1,BTS,37151476,"['k-pop', 'k-pop boy group']",21-02-2020,67,0.661,0.840,-4.805,0.116,0.005,0.287,91.457,0.524
FML,"6,350,496",113,5,Arizona Zervas,621200,"['pop rap', 'rhode island rap']",03-06-2018,74,0.822,0.575,-5.950,0.093,0.113,0.106,100.087,0.616
Mios mit Bars,"6,341,141",122,1,Luciano,942380,"['german drill', 'german hip hop']",13-02-2020,57,0.677,0.633,-7.353,0.047,0.111,0.217,145.012,0.404
9 5 . s o u t h,"6,333,126",18,2,J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",14-05-2021,75,0.713,0.793,-5.277,0.397,0.271,0.727,71.724,0.203
love race (feat. Kellin Quinn),"6,325,080",113,1,Machine Gun Kelly,3864419,"['ohio hip hop', 'pop rap']",29-04-2021,76,0.517,0.848,-4.054,0.052,0.006,0.214,95.906,0.429
Avalanche,"6,323,268",128,1,Migos,11690201,"['atl hip hop', 'pop rap', 'rap', 'trap']",11-06-2021,71,0.917,0.623,-8.231,0.135,0.099,0.083,126.063,0.687
We're Good,"6,318,660",22,22,Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']",11-02-2021,83,0.722,0.588,-5.932,0.054,0.032,0.183,134.010,0.590
Señorita,"6,317,487",9,83,"Shawn Mendes, Camila Cabello",33879560,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",21-06-2019,82,0.759,0.540,-6.039,0.029,0.037,0.095,116.947,0.750
Hecha Pa' Mi,"6,308,369",17,30,Boza,278679,['reggaeton'],31-07-2020,83,0.725,0.756,-5.013,0.057,0.362,0.103,100.070,0.828
Hold On,"6,300,416",5,21,Justin Bieber,1250353,"['r&b', 'pop']",13-08-2021,0,0.658,0.634,-5.797,0.041,0.011,0.132,139.980,0.290
Seeing Green (with Drake & Lil Wayne),"6,299,936",67,2,Nicki Minaj,22161310,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",14-05-2021,77,0.573,0.867,-2.876,0.168,0.085,0.380,74.861,0.231
Epidemic,"6,292,620",116,1,Polo G,4849204,['chicago rap'],25-09-2020,71,0.616,0.617,-8.431,0.520,0.128,0.177,175.929,0.476
My Kind Of Present,"6,278,993",197,1,Meghan Trainor,10606572,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",30-10-2020,41,0.485,0.444,-6.232,0.195,0.373,0.097,179.967,0.777
Perfect,"6,278,765",99,83,Ed Sheeran,83293380,"['pop', 'uk pop']",03-03-2017,86,0.599,0.448,-6.312,0.023,0.163,0.106,95.050,0.168
Dark Side,"6,277,641",134,1,Blind Channel,121225,"['eurovision', 'oulu metal', 'trancecore']",21-01-2021,72,0.571,0.955,-3.795,0.105,0.003,0.274,98.010,0.437
WILSHIRE,"6,268,542",132,1,"Tyler, The Creator",6777818,"['hip hop', 'rap']",25-06-2021,73,0.555,0.712,-7.446,0.323,0.045,0.182,78.958,0.555
People You Know,"6,255,954",119,1,Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",10-01-2020,54,0.695,0.620,-8.082,0.052,0.088,0.111,150.032,0.620
Voice of the Heroes,"6,249,801",126,1,"Lil Baby, Lil Durk",7805880,"['atl hip hop', 'atl trap', 'rap', 'trap']",04-06-2021,81,0.596,0.650,-5.167,0.337,0.138,0.140,133.997,0.188
2:50 Remix,"6,244,011",80,5,"MYA, TINI, Duki",282045,['latin pop'],21-06-2021,85,0.818,0.812,-4.425,0.048,0.112,0.234,139.966,0.844
LA NOCHE DE ANOCHE,"6,242,863",2,35,"Bad Bunny, ROSALÍA",36142273,"['latin', 'reggaeton', 'trap latino']",27-11-2020,86,0.856,0.618,-4.892,0.286,0.030,0.087,81.993,0.391
Tick Tock (feat. 24kGoldn),"6,241,923",82,11,"Clean Bandit, Mabel",4431309,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",21-08-2020,78,0.779,0.705,-3.895,0.034,0.369,0.124,101.022,0.946
More Time,"6,238,351",127,1,Pop Smoke,6837946,['brooklyn drill'],31-07-2021,55,0.628,0.581,-8.377,0.188,0.460,0.152,145.396,0.259
SHUM,"6,237,019",137,1,Go_A,107553,['eurovision'],10-03-2021,75,0.527,0.737,-5.340,0.064,0.050,0.105,116.431,0.499
Up Up And Away,"6,229,316",43,2,Juice WRLD,19102888,"['chicago rap', 'melodic rap']",10-07-2020,72,0.661,0.665,-6.356,0.053,0.538,0.098,75.059,0.486
Urgency (feat. Syd),"6,224,412",140,1,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",06-03-2020,53,0.619,0.784,-6.110,0.123,0.033,0.315,156.035,0.471
Man Of The Year,"6,223,001",46,2,Juice WRLD,19102888,"['chicago rap', 'melodic rap']",10-07-2020,73,0.621,0.695,-5.124,0.091,0.006,0.086,173.966,0.298
ON (Feat. Sia),"6,219,276",34,3,BTS,37151476,"['k-pop', 'k-pop boy group']",21-02-2020,64,0.591,0.848,-4.397,0.083,0.137,0.372,105.922,0.386
Birthday,"6,207,326",120,1,Anne-Marie,8153871,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",07-02-2020,65,0.609,0.785,-3.320,0.089,0.050,0.171,151.995,0.756
TE DESEO LO MEJOR,"6,204,228",29,2,Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",27-11-2020,70,0.763,0.597,-5.054,0.042,0.158,0.111,126.054,0.194
Love Story (Taylor’s Version),"6,202,933",8,5,Taylor Swift,42227614,"['pop', 'post-teen pop']",09-04-2021,73,0.627,0.792,-4.311,0.031,0.130,0.085,119.054,0.415
All Bad (feat. Lil Uzi Vert),"6,194,224",105,1,Future,10491105,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",15-05-2020,60,0.931,0.667,-7.043,0.318,0.014,0.150,142.039,0.667
ROCKSTAR (feat. Roddy Ricch),"6,180,056",1,67,DaBaby,7593046,"['north carolina hip hop', 'rap']",17-04-2020,86,0.746,0.690,-7.956,0.164,0.247,0.101,89.977,0.497
