Song Title,Streams,Highest Charting Position,Number of Times Charted,Artist,Artist Followers,Genre,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Valence
Party Girl (Remix),"15,129,295",10,2,"StaySolidRocky, Lil Uzi Vert",150587,['melodic rap'],10-07-2020,62,0.752,0.375,-10.157,0.204,0.533,0.175,129.995,0.591
Heat Waves,"15,089,184",24,31,Glass Animals,1890510,"['gauze pop', 'indietronica', 'shiver pop']",07-08-2020,85,0.761,0.525,-6.900,0.094,0.440,0.092,80.870,0.531
Blinding Lights,"15,011,809",1,83,The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']",20-03-2020,92,0.514,0.730,-5.934,0.060,0.001,0.090,171.005,0.334
happier,"14,849,078",12,10,Olivia Rodrigo,6266514,['pop'],21-05-2021,92,0.395,0.443,-9.720,0.133,0.765,0.084,168.924,0.338
Pepas,"14,809,458",27,3,Farruko,10502148,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",24-06-2021,92,0.762,0.766,-3.955,0.034,0.008,0.128,130.001,0.442
It's the Most Wonderful Time of the Year,"14,582,001",8,7,Andy Williams,369548,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'vocal jazz']",24-11-1963,55,0.240,0.598,-8.435,0.037,0.766,0.117,201.629,0.776
ivy,"14,519,547",34,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",11-12-2020,66,0.515,0.545,-9.277,0.035,0.855,0.092,88.856,0.535
dorothea,"14,392,788",38,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",11-12-2020,64,0.605,0.488,-8.322,0.026,0.696,0.129,119.966,0.354
coney island (feat. The National),"14,385,703",39,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",11-12-2020,64,0.537,0.537,-11.266,0.062,0.819,0.142,107.895,0.292
Motley Crew,"14,329,162",18,3,Post Malone,33651775,"['dfw rap', 'melodic rap', 'rap']",09-07-2021,90,0.797,0.631,-3.818,0.079,0.090,0.100,129.915,0.288
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"14,273,637",15,23,"Riton, Nightcrawlers",83689,"['dance pop', 'house', 'pop dance', 'tropical house', 'uk dance']",15-01-2021,92,0.824,0.862,-3.424,0.126,0.008,0.303,122.980,0.801
Astronaut In The Ocean,"14,174,752",3,28,Masked Wolf,365975,['australian hip hop'],06-01-2021,89,0.778,0.695,-6.865,0.091,0.175,0.150,149.996,0.472
p u n c h i n ‘ . t h e . c l o c k,"14,051,831",32,1,J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",14-05-2021,70,0.769,0.740,-6.579,0.378,0.197,0.171,94.104,0.692
Leave The Door Open,"13,963,568",5,21,"Bruno Mars, Anderson .Paak, Silk Sonic",32574754,"['dance pop', 'pop', 'post-teen pop']",05-03-2021,92,0.586,0.616,-7.964,0.032,0.182,0.093,148.088,0.719
evermore (feat. Bon Iver),"13,810,722",43,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",11-12-2020,66,0.390,0.270,-10.673,0.031,0.937,0.111,125.177,0.320
long story short,"13,583,538",45,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",11-12-2020,66,0.546,0.730,-7.704,0.042,0.660,0.097,157.895,0.573
Don't Go Yet,"13,205,250",32,1,Camila Cabello,22683756,"['dance pop', 'electropop', 'pop', 'post-teen pop']",23-07-2021,88,0.666,0.796,-6.967,0.103,0.049,0.044,110.108,0.610
HOY COBRÉ,"12,914,431",41,1,Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",27-11-2020,70,0.860,0.725,-6.700,0.249,0.046,0.099,145.001,0.375
favorite crime,"12,818,935",11,10,Olivia Rodrigo,6266514,['pop'],21-05-2021,91,0.369,0.272,-10.497,0.036,0.866,0.147,172.929,0.218
cowboy like me,"12,782,098",53,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",11-12-2020,64,0.604,0.517,-9.014,0.035,0.768,0.123,127.967,0.511
MALDITA POBREZA,"12,660,806",44,1,Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",27-11-2020,67,0.762,0.861,-4.075,0.065,0.139,0.096,133.037,0.588
t h e . c l i m b . b a c k,"12,648,655",36,2,J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",14-05-2021,70,0.618,0.632,-6.973,0.346,0.053,0.353,81.446,0.319
Pareja Del Año,"12,572,307",10,15,"Sebastian Yatra, Myke Towers",16216789,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']",16-04-2021,91,0.715,0.622,-5.102,0.046,0.163,0.095,80.015,0.808
EL MUNDO ES MÍO,"12,507,010",48,1,Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",27-11-2020,67,0.716,0.522,-6.834,0.058,0.166,0.113,76.993,0.224
Underneath the Tree,"12,266,990",9,7,Kelly Clarkson,7869617,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",29-10-2013,49,0.509,0.812,-5.439,0.054,0.001,0.214,159.878,0.689
marjorie,"12,234,761",57,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",11-12-2020,64,0.535,0.561,-11.609,0.048,0.876,0.115,96.103,0.287
That Way,"12,059,592",49,1,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",01-03-2020,67,0.719,0.611,-5.010,0.040,0.058,0.155,129.962,0.489
Watermelon Sugar,"11,996,689",4,83,Harry Styles,16112621,"['pop', 'post-teen pop']",13-12-2019,90,0.548,0.816,-4.209,0.047,0.122,0.335,95.390,0.557
LUMBERJACK,"11,756,283",43,2,"Tyler, The Creator",6777818,"['hip hop', 'rap']",25-06-2021,76,0.386,0.762,-6.341,0.564,0.122,0.527,170.691,0.433
RAPSTAR,"11,683,383",3,16,Polo G,4840346,['chicago rap'],09-04-2021,89,0.789,0.536,-6.862,0.242,0.410,0.129,81.039,0.437
Feliz Navidad,"11,664,490",14,6,José Feliciano,239129,"['latin pop', 'puerto rican pop']",24-09-2002,49,0.513,0.831,-9.004,0.038,0.550,0.336,148.837,0.963
h u n g e r . o n . h i l l s i d e (with Bas),"11,647,489",48,1,J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",14-05-2021,71,0.563,0.703,-5.756,0.070,0.126,0.213,94.983,0.294
You Right,"11,629,418",15,5,"Doja Cat, The Weeknd",8640063,"['dance pop', 'pop']",25-06-2021,89,0.828,0.621,-6.414,0.057,0.016,0.085,128.986,0.436
911 - Remix,"11,553,846",39,3,"Sech, Jhay Cortez",8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",09-07-2021,89,0.816,0.710,-3.728,0.040,0.165,0.292,93.020,0.784
DÁKITI,"11,524,288",1,39,"Bad Bunny, Jhay Cortez",36142273,"['latin', 'reggaeton', 'trap latino']",27-11-2020,86,0.731,0.573,-10.059,0.054,0.401,0.113,109.928,0.145
Miénteme,"11,477,024",41,13,"TINI, Maria Becerra",2936204,"['latin pop', 'pop argentino']",29-04-2021,90,0.850,0.541,-4.522,0.067,0.161,0.286,92.003,0.916
LEMONHEAD (feat. 42 Dugg),"11,380,679",47,1,"Tyler, The Creator",6777818,"['hip hop', 'rap']",25-06-2021,78,0.620,0.586,-6.612,0.212,0.155,0.535,137.131,0.487
Lemonade,"11,373,347",43,2,"Internet Money, Gunna, Don Toliver, NAV",412466,"['pop rap', 'rap', 'trap']",14-08-2020,82,0.799,0.660,-6.153,0.079,0.256,0.111,140.040,0.471
ANTES QUE SE ACABE,"11,298,839",53,1,Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",27-11-2020,76,0.693,0.549,-6.098,0.058,0.505,0.324,139.988,0.473
"jealousy, jealousy","11,287,301",17,10,Olivia Rodrigo,6266514,['pop'],21-05-2021,90,0.695,0.575,-6.334,0.116,0.198,0.061,163.929,0.699
Poblado - Remix,"11,283,626",33,6,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",18-06-2021,89,0.813,0.809,-5.382,0.085,0.102,0.377,93.005,0.646
closure,"11,245,393",70,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",11-12-2020,62,0.689,0.704,-10.813,0.245,0.835,0.134,151.884,0.920
Dynamite,"11,196,819",2,49,BTS,37106176,"['k-pop', 'k-pop boy group']",20-11-2020,89,0.746,0.765,-4.410,0.099,0.011,0.094,114.044,0.737
SORRY PAPI,"11,066,606",59,1,"Bad Bunny, ABRA",36177712,"['latin', 'reggaeton', 'trap latino']",27-11-2020,70,0.612,0.561,-6.054,0.085,0.060,0.145,191.911,0.393
120,"10,957,181",63,1,Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",27-11-2020,72,0.636,0.656,-5.542,0.068,0.451,0.287,171.918,0.439
six thirty,"10,941,573",51,1,Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",30-10-2020,63,0.739,0.516,-7.154,0.054,0.670,0.151,120.109,0.434
Premonition - Intro,"10,830,400",57,1,Eminem,46814751,"['detroit hip hop', 'hip hop', 'rap']",17-01-2020,62,0.847,0.637,-5.193,0.367,0.026,0.382,165.979,0.511
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"10,787,165",19,6,Frank Sinatra,4953667,"['adult standards', 'easy listening', 'lounge']",08-11-1994,53,0.652,0.259,-13.336,0.060,0.903,0.362,142.169,0.836
The Business,"10,739,770",9,39,Tiësto,5785065,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",16-09-2020,90,0.798,0.620,-7.079,0.232,0.414,0.112,120.031,0.235
TRELLAS,"10,733,416",66,1,Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",27-11-2020,66,0.430,0.412,-5.372,0.028,0.200,0.324,90.872,0.051
c l o s e,"10,712,648",55,1,J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",14-05-2021,82,0.597,0.587,-7.026,0.137,0.062,0.214,140.021,0.075
Mistletoe,"10,609,206",15,6,Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",01-01-2011,59,0.657,0.560,-9.049,0.047,0.498,0.079,161.993,0.854
She Knows This,"10,561,183",74,1,Kid Cudi,5002317,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,64,0.390,0.724,-7.607,0.089,0.162,0.393,165.945,0.312
D4L,"10,537,097",46,1,"Future, Drake, Young Thug",56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",01-05-2020,63,0.718,0.706,-5.709,0.060,0.013,0.352,170.004,0.815
Jingle Bell Rock - Daryl's Version,"10,522,305",71,3,Daryl Hall & John Oates,1549216,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",01-11-1983,43,0.666,0.841,-3.592,0.031,0.613,0.113,128.706,0.840
POP,"10,484,727",60,1,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",06-03-2020,58,0.741,0.599,-6.672,0.419,0.010,0.785,139.891,0.276
Do They Know It's Christmas? - 1984 Version,"10,476,212",17,6,Band Aid,4883,['musical advocacy'],01-01-2004,51,0.599,0.642,-6.936,0.036,0.164,0.099,115.412,0.349
Christmas Lights,"10,455,065",74,3,Coldplay,31161671,"['permanent wave', 'pop']",16-12-2016,53,0.295,0.496,-9.478,0.033,0.207,0.858,132.062,0.224
Celebration Station,"10,396,969",61,1,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",06-03-2020,61,0.748,0.771,-4.156,0.150,0.101,0.135,142.086,0.792
Alice,"10,342,277",53,1,Lady Gaga,18585963,"['dance pop', 'pop', 'post-teen pop']",29-05-2020,64,0.723,0.880,-4.287,0.038,0.003,0.063,123.036,0.323
Heartbreak Anthem (with David Guetta & Little Mix),"10,315,460",46,10,Galantis,3120157,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",20-05-2021,89,0.595,0.784,-4.878,0.102,0.216,0.061,124.111,0.479
Mood (feat. iann dior),"10,222,056",1,51,24kGoldn,1274433,['cali rap'],26-03-2021,89,0.701,0.716,-3.671,0.036,0.174,0.324,91.007,0.732
Entre Nosotros,"10,215,216",48,3,"Tiago PZK, LIT killah",375865,['trap argentino'],08-07-2021,89,0.729,0.513,-6.345,0.046,0.494,0.137,170.064,0.789
I Can See,"10,086,930",62,1,Mac Miller,6189454,"['hip hop', 'pittsburgh rap', 'rap']",17-01-2020,60,0.699,0.503,-9.922,0.088,0.391,0.100,114.860,0.055
Repeat After Me (Interlude),"10,058,303",51,1,The Weeknd,35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",20-03-2020,63,0.555,0.619,-7.918,0.031,0.032,0.092,95.032,0.141
